number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
1,0,0,30,764,61,9,3,35,1,120720,2412,9,16,0,4305,2,1,0,24.111111,1,0,0.333333,0,28,1,9,0,85,0,0,0,7,10,0,3195,0.928571,1,8,0,13,0,24.111111,4,2412,1,7,0,217,67,0,0,0,3256,8,6,217,0,0,52,9,True
2,6,1,30,764,0,8,8,35,0,120720,81,8,0,0,4305,1,0,0,1.0,0,0,0.2,0,0,0.25,8,0,8,0,0,0,3,20,1,2505,0.857143,0,0,0,0,0,1.0,0,39,0,3,0,8,75,0,0,0,3256,0,3,2,0,0,63,2,False
1,23,0,30,764,71,87,86,35,8,120720,1494,93,38,6,4305,1,8,0,3.628571,7,2,0.347339,6,27,0.744186,93,0,202,0,0,0,33,17,0,4016,0.961792,0,69,0,35,0,3.107527,7,1324,0,33,0,289,326,0,0,0,3256,0,25,254,0,0,203,70,True
0,0,0,30,764,23,3,4,35,2,120720,5126,7,25,4,4305,7,1,0,25.857143,11,0,0.0,4,34,0.8,7,0,134,0,0,0,9,33,0,6189,1.0,0,7,1,9,1,25.857143,3,5126,0,8,0,181,111,1,1,0,3256,158,7,181,0,0,103,7,True
0,0,0,30,764,25,3,4,35,2,120720,5349,8,25,5,4305,7,1,0,23.125,11,0,0.0,5,34,0.8,8,0,134,0,0,0,9,41,0,6405,1.0,0,8,1,11,1,23.125,4,5349,0,8,0,185,121,1,1,0,3256,158,7,185,0,0,113,8,True
1,13,0,32,1244,118,89,47,36,12,163595,3392,90,52,1,8322,1,0,0,7.0,4,1,0.416425,1,91,0.648148,90,0,260,0,0,2,59,61,0,8738,0.948262,0,76,0,47,14,6.144444,43,3175,0,52,0,553,410,12,7,0,6962,0,45,539,0,0,373,77,True
1,1,0,32,1244,50,18,6,36,6,163595,1201,21,25,3,8322,1,0,0,11.25,0,1,0.428571,3,54,0.545455,21,0,113,0,0,2,14,12,0,3576,0.953571,0,19,0,21,8,10.761905,13,1191,2,9,0,226,97,6,5,0,6962,0,6,225,0,0,85,20,True
2,26,0,32,1244,34,87,83,36,13,163595,1210,88,30,1,8322,1,0,0,2.387097,5,11,0.146944,1,16,0.6,88,0,132,0,0,32,49,195,0,50650,0.985925,1,60,0,25,45,2.0,4,1063,0,37,0,176,2992,13,12,0,6962,0,4,148,0,0,2231,62,True
0,0,0,32,1244,2,2,1,36,0,163595,10,2,2,0,8322,1,0,1,2.0,0,11,1.0,0,1,1,1,0,3,0,0,0,0,195,1,50650,0.0,0,1,0,2,0,2.0,1,10,0,0,0,2,2992,0,0,0,6962,0,0,2,0,0,2231,1,False
5,62,0,32,1244,135,188,187,36,10,163595,3652,190,59,2,8322,3,0,0,2.805755,8,11,0.106476,2,58,0.651042,201,11,470,0,39,11,54,195,1,50650,0.983611,9,134,5,48,21,2.482587,5,2855,0,10,0,499,2992,10,5,11,6962,73,33,390,1,0,2231,139,True
2,9,0,32,1244,58,26,23,36,13,163595,1101,27,31,1,8322,1,0,0,12.5,3,1,0.471429,1,51,0.424242,29,2,128,0,0,0,19,44,0,11914,0.947368,0,18,1,31,13,9.034483,6,1005,0,9,0,262,472,13,10,2,6962,0,6,250,0,0,404,20,True
4,3,0,32,1244,110,41,25,36,1,163595,1564,45,47,4,8322,3,0,0,8.833333,1,1,0.378917,4,53,0.88,45,0,263,0,0,0,7,44,1,11914,0.827922,5,38,2,41,1,8.355556,14,1538,1,7,0,376,472,1,0,0,6962,59,6,371,0,0,404,42,True
1,0,0,32,1244,67,39,12,36,4,163595,1353,40,47,1,8322,6,0,0,5.275,4,1,0.381818,1,66,1,40,0,210,0,0,1,10,288,1,23070,0.94359,0,39,1,37,5,5.275,28,1353,0,10,0,211,1073,4,0,0,6962,555,5,211,0,0,938,40,True
0,0,0,0,60,0,2,2,2,1,2453,18,2,5,0,254,3,1,0,2.0,0,0,1.0,0,0,0.333333,2,0,48,0,0,0,4,20,0,701,0.5,0,2,2,0,0,2.0,0,18,0,0,0,4,72,0,4,0,243,30,3,4,0,0,72,2,False
0,0,0,0,60,2,7,4,2,0,2453,34,7,5,0,254,3,0,0,1.0,0,0,1.0,0,2,0.571429,7,0,57,0,0,0,3,20,0,701,1.0,0,7,0,1,0,1.0,3,34,0,0,0,7,72,0,3,0,243,32,3,7,0,0,72,7,False
0,0,0,0,60,0,1,1,2,0,2453,4,1,5,0,254,3,0,0,1.0,0,0,1.0,0,0,0.333333,1,0,49,0,0,0,2,20,0,701,0.0,0,1,0,0,0,1.0,0,4,0,0,0,1,72,0,2,0,243,32,2,1,0,0,72,1,False
0,0,0,0,60,3,4,1,2,0,2453,35,4,5,0,254,3,0,0,2.0,0,0,1.0,0,0,0.5,4,0,53,0,0,0,1,20,0,701,1.0,0,4,0,2,0,2.0,3,35,0,0,0,8,72,0,1,0,243,32,1,8,0,0,72,4,False
0,0,0,0,60,3,2,2,2,1,2453,16,3,5,1,254,2,1,1,1.5,0,0,0.0,1,4,0.5,2,0,41,0,0,0,1,20,0,701,1.0,0,2,1,2,0,1.5,0,16,1,0,0,3,72,0,1,0,243,25,0,3,0,0,72,2,False
0,0,0,0,60,10,4,3,2,0,2453,43,4,6,0,254,3,0,0,2.75,0,0,1.0,0,1,0.5,4,0,53,0,0,0,3,20,0,701,1.0,0,4,1,3,0,2.75,1,43,0,0,0,11,72,0,3,0,243,31,3,11,0,0,72,4,False
1,0,0,0,60,0,4,4,2,0,2453,26,4,0,0,254,1,0,0,1.75,0,0,1.0,0,0,1,4,0,4,0,0,0,1,20,0,701,0.333333,0,3,2,0,0,1.75,0,26,0,0,1,7,72,0,0,0,243,0,1,7,0,0,72,4,False
0,0,0,0,60,2,3,2,2,0,2453,24,3,5,0,254,3,0,0,1.333333,0,0,1.0,0,0,0.666667,3,0,52,0,0,0,1,20,0,701,1.0,0,3,0,1,0,1.333333,1,24,0,0,0,4,72,0,1,0,243,32,1,4,0,0,72,3,False
0,0,0,0,60,0,0,0,2,0,2453,2,0,0,0,254,1,0,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,20,0,701,0.0,0,0,0,0,0,0.0,0,2,0,0,0,0,72,0,0,0,243,0,0,0,0,0,72,0,False
0,0,0,0,60,5,7,4,2,0,2453,44,7,7,0,254,3,0,1,2.333333,0,0,0.2,0,5,1,6,0,52,0,0,0,1,20,0,701,0.6,0,6,3,3,0,2.333333,0,44,3,0,1,14,72,0,0,0,243,30,1,14,0,0,72,6,False
0,0,0,0,60,3,1,1,2,0,2453,35,1,6,0,254,3,0,0,5.0,0,0,1.0,0,5,0.25,1,0,52,0,0,0,3,20,0,701,0.0,0,1,0,1,0,5.0,0,35,0,0,0,5,72,0,3,0,243,32,3,5,0,0,72,1,False
0,0,0,0,60,1,2,1,2,0,2453,15,2,5,0,254,3,0,0,1.0,0,0,1.0,0,0,0.5,2,0,51,0,0,0,1,20,0,701,1.0,0,2,0,1,0,1.0,1,15,0,0,0,2,72,0,1,0,243,32,1,2,0,0,72,2,False
0,0,0,0,60,13,6,3,2,3,2453,70,6,7,0,254,3,3,0,5.0,0,0,0.2,0,2,1,6,0,52,0,0,0,7,20,0,701,0.9,0,6,3,5,0,5.0,0,70,3,3,4,30,72,0,0,0,243,30,4,30,0,0,72,6,False
0,0,0,0,60,6,5,1,2,0,2453,83,5,5,0,254,3,0,0,4.2,0,0,1.0,0,5,0.05,5,0,57,0,0,0,19,20,0,701,1.0,0,5,0,1,0,4.2,4,83,0,0,0,21,72,0,19,0,243,32,19,21,0,0,72,5,False
0,0,0,0,60,2,3,1,2,0,2453,20,3,5,0,254,3,0,0,1.0,0,0,1.0,0,0,0.5,3,0,52,0,0,0,1,20,0,701,1.0,0,3,0,2,0,1.0,2,20,0,0,0,3,72,0,1,0,243,32,1,3,0,0,72,3,False
0,0,0,0,60,6,5,1,2,1,2453,49,5,5,0,254,2,1,0,1.6,0,0,0.1,0,4,0.5,5,0,44,0,0,0,1,40,0,1752,0.75,4,5,1,3,0,1.6,0,49,0,0,0,8,182,0,1,0,243,25,0,8,0,0,171,5,False
0,0,0,0,60,3,4,7,2,0,2453,51,7,5,3,254,2,0,0,1.571429,0,0,0.0,3,0,1,7,0,45,0,0,0,0,40,0,1752,0.0,0,7,0,2,0,1.571429,0,51,0,0,0,11,182,0,0,0,243,26,0,11,2,0,171,7,False
0,0,0,0,60,7,7,5,2,0,2453,72,8,3,1,254,1,0,1,1.571429,0,0,0.714286,1,5,0.5,7,0,14,0,0,0,4,40,0,1752,0.708333,3,7,0,2,0,1.571429,0,72,0,0,0,11,182,0,4,0,243,0,4,11,1,0,171,7,False
0,0,0,0,60,12,10,6,2,0,2453,98,10,5,0,254,2,0,0,2.3,0,0,0.133333,0,5,1,10,0,48,0,2,0,2,40,0,1752,0.888889,4,10,4,3,0,2.3,0,98,0,0,0,23,182,0,0,0,243,22,2,23,13,0,171,10,True
1,0,0,0,60,0,8,11,2,0,2453,70,11,0,3,254,2,0,0,1.727273,0,0,0.622222,3,0,1,11,0,11,0,2,0,2,40,1,1752,0.7,0,10,1,0,0,1.727273,0,70,0,0,0,19,182,0,0,0,243,6,2,19,0,0,171,11,False
0,0,0,0,60,7,7,5,2,2,2453,65,7,5,0,254,2,2,0,1.857143,0,0,0.952381,0,1,0.833333,7,0,46,0,2,0,3,40,0,1752,0.5,2,7,1,3,0,1.857143,0,65,0,0,0,13,182,0,1,0,243,25,1,13,1,0,171,7,False
0,1,0,0,60,18,8,11,2,0,2453,244,12,1,4,254,1,0,1,3.2,17,0,0.345455,4,0,0.6,11,0,29,0,0,0,5,40,0,1752,0.8,1,10,0,18,0,3.0,0,239,0,0,0,33,182,0,5,0,243,0,5,32,9,0,171,10,False
0,1,0,0,60,13,25,24,2,4,2453,283,28,4,3,254,1,4,1,2.076923,1,0,0.390769,3,7,0.758621,27,0,40,0,1,0,7,40,0,1752,0.961538,3,26,0,5,0,2.037037,1,278,0,0,0,55,182,0,6,0,243,0,3,54,7,0,171,26,True
0,0,0,0,60,0,3,2,2,0,2453,19,3,0,0,254,1,0,1,1.5,0,0,1.0,0,0,1,2,0,2,0,0,0,2,40,0,1752,0.5,0,2,1,0,0,1.5,0,19,1,0,2,3,182,0,0,0,243,0,2,3,0,0,171,2,False
0,1,1,0,60,0,2,1,2,0,2453,5,2,2,0,254,3,0,1,0.0,0,0,1.0,0,0,0,1,0,28,0,0,0,0,40,0,1752,0.0,0,0,1,0,0,1.0,0,0,1,0,0,1,182,0,0,0,243,10,0,0,0,0,171,0,False
0,0,1,0,60,0,2,1,2,0,2453,5,2,1,0,254,2,0,1,1.0,0,0,1.0,0,0,1,1,0,28,0,0,0,0,40,0,1752,0.0,0,1,1,0,0,1.0,0,5,1,0,0,1,182,0,0,0,243,10,0,1,1,0,171,1,False
1,1,0,95,2250,4,3,4,29,1,130132,61,4,2,1,10364,4,1,0,1.0,2,3,0.0,1,0,0.75,5,1,9,0,0,0,1,80,0,4694,1.0,0,3,3,4,0,1.0,1,57,0,1,0,5,492,0,0,1,9519,23,0,4,0,0,455,4,False
0,0,0,95,2250,1,2,1,29,0,130132,24,2,1,0,10364,1,0,1,7.0,0,3,1.0,0,0,0,1,0,2,0,0,0,0,80,1,4694,0.0,0,1,0,1,0,7.0,0,24,1,0,0,7,492,0,0,0,9519,0,0,7,0,0,455,1,False
0,4,0,95,2250,0,9,9,29,0,130132,17,9,0,0,10364,2,0,1,1.0,0,3,0.142857,0,0,0.5,8,0,8,0,0,0,4,80,0,4694,0.857143,0,4,4,0,0,1.0,0,5,0,4,0,8,492,0,0,0,9519,4,4,4,0,0,455,4,False
1,3,0,95,2250,0,4,4,29,7,130132,45,4,0,0,10364,1,0,0,1.0,0,2,0.0,0,0,0.090909,4,0,4,0,0,0,10,34,0,6146,1.0,0,0,0,0,7,1.0,0,20,0,3,0,4,432,7,7,0,9519,0,3,1,0,0,408,1,False
3,8,0,95,2250,52,63,45,29,5,130132,1371,64,51,1,10364,5,1,0,4.089286,2,2,0.088627,1,7,0.826087,64,0,241,0,0,3,13,31,1,7044,0.965812,7,53,4,19,7,3.859375,10,1286,2,12,0,247,294,4,1,0,9519,169,5,229,0,0,280,56,True
1,5,0,95,2250,57,26,12,29,2,130132,1079,26,28,0,10364,6,0,0,3.047619,24,4,0.383333,0,25,0.571429,26,0,129,0,0,0,35,1001,1,33723,0.948571,1,20,2,35,2,2.653846,9,1058,4,25,8,69,2606,2,2,0,9519,529,33,64,0,0,2415,21,True
1,10,1,95,2250,0,11,11,29,0,130132,27,11,1,0,10364,1,0,0,1.0,0,4,0.111111,0,0,0.090909,11,0,11,0,0,0,5,1001,0,33723,0.9,0,0,0,0,0,1.0,0,27,0,5,0,11,2606,0,0,0,9519,0,5,1,0,0,2415,1,False
1,7,0,95,2250,56,47,40,29,2,130132,1008,47,28,0,10364,2,0,0,2.875,14,3,0.398671,0,14,0.825,47,0,115,0,0,2,10,38,1,2130,0.917391,4,39,1,20,4,2.595745,3,965,0,10,0,122,306,2,0,0,9519,7,6,115,1,0,289,40,True
1,1,0,95,2250,76,31,8,29,2,130132,1881,31,47,0,10364,7,0,0,2.4,34,1,0.428571,0,146,0.875,31,0,116,0,2,18,22,119,0,4772,0.981818,0,29,0,60,20,2.387097,23,1858,0,20,0,74,380,2,0,0,9519,533,2,72,0,0,332,30,True
